product_key,product_id,product_name,category,sub_category
42,OFF-AP-10000486,"Cuisinart Stove, Silver",Office Supplies,Appliances
43,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders
44,FUR-CH-10003365,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs
45,FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
46,TEC-MA-10002680,"Konica Inkjet, White",Technology,Machines
47,FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
48,TEC-CAN-10003392,"Canon Copy Machine, Color",Technology,Copiers
49,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers
50,FUR-BO-10001372,"Safco Classic Bookcase, Pine",Furniture,Bookcases
51,TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",Technology,Phones
52,TEC-CO-10004997,"Hewlett Wireless Fax, Color",Technology,Copiers
53,TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers
54,FUR-TA-10000226,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables
55,OFF-AP-10002244,"Breville Refrigerator, White",Office Supplies,Appliances
56,TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones
57,FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases
58,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines
59,TEC-PH-10002035,"Samsung Smart Phone, Cordless",Technology,Phones
60,TEC-PH-10002565,"Apple Audio Dock, with Caller ID",Technology,Phones
61,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances
62,FUR-BO-10004999,"Safco Classic Bookcase, Metal",Furniture,Bookcases
63,FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",Furniture,Tables
64,TEC-PH-10004196,"Samsung Smart Phone, Cordless",Technology,Phones
65,FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",Furniture,Tables
66,FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
67,OFF-AP-10001630,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
68,FUR-HAR-10002873,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
69,FUR-TA-10000687,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
70,TEC-PH-10004505,"Nokia Smart Phone, Full Size",Technology,Phones
71,TEC-PH-10002683,"Apple Smart Phone, Cordless",Technology,Phones
72,TEC-CO-10002269,"Brother Ink, Color",Technology,Copiers
73,TEC-CO-10002526,"Sharp Wireless Fax, Digital",Technology,Copiers
74,FUR-CH-10002891,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
75,TEC-CAN-10001437,"Canon Wireless Fax, Laser",Technology,Copiers
76,OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders
77,TEC-PH-10004327,"Motorola Smart Phone, Full Size",Technology,Phones
78,OFF-AP-10001621,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances
79,OFF-HOO-10001881,"Hoover Stove, White",Office Supplies,Appliances
80,TEC-CO-10001954,"Brother Wireless Fax, Laser",Technology,Copiers
81,FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
82,TEC-CO-10003102,"Canon Copy Machine, Color",Technology,Copiers
83,FUR-TA-10003392,Global Adaptabilities Conference Tables,Furniture,Tables
84,OFF-AP-10002552,"Hamilton Beach Stove, White",Office Supplies,Appliances
85,TEC-MOT-10000554,"Motorola Smart Phone, Full Size",Technology,Phones
86,FUR-TA-10003627,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
87,FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
88,TEC-MA-10003515,"Panasonic Printer, Red",Technology,Machines
89,OFF-AP-10002904,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances
90,TEC-MOT-10003348,"Motorola Smart Phone, Full Size",Technology,Phones
91,TEC-PH-10001990,"Cisco Smart Phone, Full Size",Technology,Phones
92,TEC-PH-10002898,"Samsung Smart Phone, Full Size",Technology,Phones
93,TEC-CO-10001633,"Sharp Fax Machine, High-Speed",Technology,Copiers
94,TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Technology,Phones
95,FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables
96,FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases
97,OFF-AP-10003598,"Breville Refrigerator, Red",Office Supplies,Appliances
98,FUR-CH-10001582,"Office Star Executive Leather Armchair, Black",Furniture,Chairs
99,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines
100,TEC-PH-10000505,"Apple Smart Phone, with Caller ID",Technology,Phones
101,FUR-BO-10002003,"Sauder Classic Bookcase, Metal",Furniture,Bookcases
102,TEC-CO-10001775,"Sharp Wireless Fax, Laser",Technology,Copiers
103,OFF-AP-10000647,"Hoover Refrigerator, White",Office Supplies,Appliances
104,TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Technology,Machines
105,TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Technology,Copiers
106,OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage
107,FUR-CH-10002203,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
108,FUR-BO-10001934,"Bush Library with Doors, Metal",Furniture,Bookcases
109,TEC-CO-10000562,"HP Wireless Fax, Digital",Technology,Copiers
110,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines
111,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders
112,TEC-CO-10002035,"Canon Wireless Fax, High-Speed",Technology,Copiers
113,TEC-CO-10004099,"Sharp Fax Machine, Digital",Technology,Copiers
114,TEC-PH-10003002,"Cisco Smart Phone, Full Size",Technology,Phones
115,FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables
116,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers
117,FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs
118,TEC-CO-10004398,"Brother Copy Machine, Color",Technology,Copiers
119,TEC-CO-10004535,"Hewlett Fax Machine, High-Speed",Technology,Copiers
120,TEC-AC-10000420,"Belkin Router, USB",Technology,Accessories
121,FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases
122,TEC-PH-10001670,"Motorola Smart Phone, Full Size",Technology,Phones
123,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs
124,FUR-BO-10004679,"Safco Library with Doors, Pine",Furniture,Bookcases
125,OFF-AP-10001776,"Hoover Refrigerator, Red",Office Supplies,Appliances
126,TEC-MA-10003704,"StarTech Printer, Wireless",Technology,Machines
127,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs
128,TEC-MA-10000984,Okidata MB760 Printer,Technology,Machines
129,TEC-AC-10000376,"Memorex Router, Bluetooth",Technology,Accessories
130,TEC-CO-10003800,"Hewlett Wireless Fax, Color",Technology,Copiers
131,TEC-SAM-10004230,"Samsung Smart Phone, Cordless",Technology,Phones
132,FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs
133,OFF-AP-10002312,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
134,TEC-PH-10000169,"Apple Smart Phone, with Caller ID",Technology,Phones
135,FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs
136,FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases
137,TEC-AC-10000866,"Belkin Router, Erganomic",Technology,Accessories
138,OFF-AP-10001623,"Hoover Stove, White",Office Supplies,Appliances
139,FUR-BO-10003541,"Bush Classic Bookcase, Metal",Furniture,Bookcases
140,TEC-CO-10004365,"HP Wireless Fax, Color",Technology,Copiers
141,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines
142,TEC-PH-10000800,"Cisco Smart Phone, Full Size",Technology,Phones
143,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
144,FUR-TA-10001642,"Lesro Round Table, Rectangular",Furniture,Tables
145,OFF-AP-10001041,"Hoover Stove, White",Office Supplies,Appliances
146,OFF-AP-10002090,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances
147,OFF-AP-10002330,"Hamilton Beach Stove, Silver",Office Supplies,Appliances
148,TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Technology,Phones
149,FUR-TA-10002153,"Lesro Round Table, with Bottom Storage",Furniture,Tables
150,OFF-AP-10004964,"Hoover Stove, White",Office Supplies,Appliances
151,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories
152,FUR-CH-10002061,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs
153,TEC-PH-10002759,"Cisco Smart Phone, Cordless",Technology,Phones
154,TEC-PH-10001699,"Samsung Smart Phone, Full Size",Technology,Phones
155,TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines
156,TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Technology,Phones
157,FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases
158,TEC-PH-10000018,"Nokia Smart Phone, Full Size",Technology,Phones
159,FUR-HON-10003533,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
160,TEC-AC-10001949,"Enermax Router, Bluetooth",Technology,Accessories
161,OFF-HOO-10004910,"Hoover Refrigerator, White",Office Supplies,Appliances
162,TEC-MA-10001335,"Epson Printer, Durable",Technology,Machines
163,FUR-TA-10000347,"Hon Computer Table, Adjustable Height",Furniture,Tables
164,TEC-PH-10000493,"Apple Smart Phone, Full Size",Technology,Phones
165,FUR-TA-10003596,"Lesro Computer Table, Adjustable Height",Furniture,Tables
166,FUR-TA-10003179,"Lesro Wood Table, Fully Assembled",Furniture,Tables
167,TEC-PH-10001396,"Nokia Smart Phone, Cordless",Technology,Phones
168,FUR-TA-10003078,"Hon Training Table, Fully Assembled",Furniture,Tables
169,FUR-CH-10003581,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
170,FUR-TA-10000184,"Barricks Conference Table, Fully Assembled",Furniture,Tables
171,OFF-AP-10001956,"Breville Refrigerator, Black",Office Supplies,Appliances
172,TEC-PH-10002200,Samsung Galaxy Note 2,Technology,Phones
173,OFF-AP-10003382,"Breville Stove, White",Office Supplies,Appliances
174,OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,Storage
175,OFF-AP-10003917,"KitchenAid Stove, Silver",Office Supplies,Appliances
176,OFF-ST-10002900,"Smead Lockers, Wire Frame",Office Supplies,Storage
177,TEC-CO-10003819,"Sharp Copy Machine, High-Speed",Technology,Copiers
178,OFF-AP-10000675,"Hamilton Beach Stove, White",Office Supplies,Appliances
179,FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases
180,OFF-AP-10001824,"Breville Stove, Silver",Office Supplies,Appliances
181,OFF-SME-10000746,"Smead Lockers, Industrial",Office Supplies,Storage
182,TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines
183,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage
184,TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Technology,Phones
185,TEC-CO-10000208,"Brother Wireless Fax, Color",Technology,Copiers
186,FUR-CH-10003312,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
187,TEC-EPS-10000053,"Epson Receipt Printer, Red",Technology,Machines
188,OFF-ST-10004060,"Fellowes Lockers, Blue",Office Supplies,Storage
189,TEC-PH-10000303,"Samsung Smart Phone, VoIP",Technology,Phones
190,FUR-BO-10002708,"Dania Library with Doors, Pine",Furniture,Bookcases
191,FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases
192,FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases
193,FUR-SAU-10002255,"Sauder Classic Bookcase, Pine",Furniture,Bookcases
194,FUR-CH-10000974,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
195,OFF-AP-10003866,"Breville Microwave, Red",Office Supplies,Appliances
196,FUR-CH-10003616,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
197,FUR-CH-10000479,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
198,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers
199,OFF-HOO-10000318,"Hoover Microwave, Silver",Office Supplies,Appliances
200,TEC-NOK-10001283,"Nokia Smart Phone, Full Size",Technology,Phones
201,OFF-AP-10000407,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances
202,OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders
203,FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs
204,TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines
205,FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables
206,FUR-BO-10002444,"Sauder Library with Doors, Mobile",Furniture,Bookcases
207,FUR-BO-10004709,"Bush Classic Bookcase, Pine",Furniture,Bookcases
208,TEC-MA-10004772,"Konica Inkjet, White",Technology,Machines
209,FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables
210,TEC-CO-10002911,"Hewlett Wireless Fax, Laser",Technology,Copiers
211,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables
212,FUR-SAU-10004653,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
213,TEC-NOK-10004339,"Nokia Smart Phone, Cordless",Technology,Phones
214,FUR-TA-10000022,"Hon Conference Table, Adjustable Height",Furniture,Tables
215,FUR-CH-10000843,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs
216,OFF-AP-10002681,"Hamilton Beach Stove, Black",Office Supplies,Appliances
217,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories
218,OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders
219,OFF-AP-10004627,"Hamilton Beach Stove, Silver",Office Supplies,Appliances
220,TEC-PH-10001076,"Nokia Smart Phone, Cordless",Technology,Phones
221,TEC-PH-10001457,"Apple Smart Phone, Full Size",Technology,Phones
222,TEC-MA-10004534,"Konica Printer, Wireless",Technology,Machines
223,FUR-BO-10003991,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
224,OFF-AP-10002793,"KitchenAid Stove, Black",Office Supplies,Appliances
225,FUR-CH-10002093,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs
226,FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
227,TEC-CO-10001818,"Sharp Wireless Fax, Digital",Technology,Copiers
228,TEC-CO-10002040,"Brother Fax Machine, Digital",Technology,Copiers
229,TEC-CO-10001654,"Hewlett Wireless Fax, Digital",Technology,Copiers
230,OFF-AP-10002397,"Breville Microwave, White",Office Supplies,Appliances
231,TEC-CAN-10001853,"Canon Fax Machine, High-Speed",Technology,Copiers
232,FUR-CH-10001207,"Hon Executive Leather Armchair, Red",Furniture,Chairs
233,TEC-PH-10002597,"Apple Signal Booster, with Caller ID",Technology,Phones
234,TEC-CO-10002617,"Brother Fax Machine, High-Speed",Technology,Copiers
235,TEC-CO-10000556,"HP Wireless Fax, Laser",Technology,Copiers
236,OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances
237,TEC-HEW-10003460,"Hewlett Fax and Copier, Color",Technology,Copiers
238,TEC-PH-10002672,"Cisco Smart Phone, Full Size",Technology,Phones
239,TEC-PH-10000106,"Apple Smart Phone, Full Size",Technology,Phones
240,OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances
241,TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers
242,TEC-SAM-10000345,"Samsung Audio Dock, with Caller ID",Technology,Phones
243,TEC-CIS-10002259,"Cisco Smart Phone, Cordless",Technology,Phones
244,OFF-AP-10004350,"KitchenAid Refrigerator, Red",Office Supplies,Appliances
245,OFF-HOO-10000335,"Hoover Microwave, White",Office Supplies,Appliances
246,FUR-BO-10004129,"Sauder Classic Bookcase, Pine",Furniture,Bookcases
247,OFF-ST-10004597,"Rogers File Cart, Blue",Office Supplies,Storage
248,FUR-CH-10001664,"Novimex Swivel Stool, Black",Furniture,Chairs
249,OFF-AP-10003240,"Breville Stove, Black",Office Supplies,Appliances
250,FUR-TA-10000136,"Chromcraft Conference Table, Adjustable Height",Furniture,Tables
251,FUR-BO-10002866,"Safco Classic Bookcase, Pine",Furniture,Bookcases
252,OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage
253,FUR-TA-10001276,"Lesro Coffee Table, with Bottom Storage",Furniture,Tables
254,TEC-MA-10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines
255,TEC-APP-10002966,"Apple Smart Phone, Full Size",Technology,Phones
256,FUR-CH-10000685,"Hon Executive Leather Armchair, Black",Furniture,Chairs
257,FUR-BO-10001541,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases
258,TEC-CO-10003931,"Hewlett Fax Machine, High-Speed",Technology,Copiers
259,FUR-BO-10001553,"Sauder Library with Doors, Traditional",Furniture,Bookcases
260,OFF-ST-10004748,"Smead Lockers, Blue",Office Supplies,Storage
261,OFF-AP-10000540,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances
262,TEC-CO-10004567,"Brother Fax Machine, Color",Technology,Copiers
263,FUR-BO-10001749,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
264,OFF-ROG-10003898,"Rogers Lockers, Single Width",Office Supplies,Storage
265,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines
266,TEC-CO-10002663,"Sharp Wireless Fax, Laser",Technology,Copiers
267,TEC-CO-10001419,"Hewlett Copy Machine, Color",Technology,Copiers
268,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers
269,TEC-CO-10000679,"Hewlett Personal Copier, High-Speed",Technology,Copiers
270,FUR-IKE-10001539,"Ikea Classic Bookcase, Pine",Furniture,Bookcases
271,TEC-CO-10002376,"Hewlett Fax Machine, Laser",Technology,Copiers
272,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables
273,OFF-AP-10000136,"Hamilton Beach Refrigerator, White",Office Supplies,Appliances
274,FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
275,FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases
276,OFF-ST-10001758,"Rogers Lockers, Blue",Office Supplies,Storage
277,TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories
278,OFF-ST-10004191,"Tenex Lockers, Blue",Office Supplies,Storage
279,FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables
280,FUR-OFF-10001224,"Office Star Swivel Stool, Red",Furniture,Chairs
281,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
282,OFF-AP-10004913,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
283,TEC-MA-10002392,"Konica Card Printer, Wireless",Technology,Machines
284,FUR-TA-10003222,"Barricks Wood Table, with Bottom Storage",Furniture,Tables
285,TEC-AC-10000639,"Belkin Router, Bluetooth",Technology,Accessories
286,FUR-TA-10003354,"Barricks Conference Table, Adjustable Height",Furniture,Tables
287,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders
288,OFF-AP-10001527,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
289,TEC-SAM-10004940,"Samsung Smart Phone, Full Size",Technology,Phones
290,TEC-CO-10003777,"Hewlett Copy Machine, Color",Technology,Copiers
291,OFF-AP-10001169,"Cuisinart Microwave, White",Office Supplies,Appliances
292,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases
293,FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases
294,TEC-PH-10002991,"Apple Smart Phone, Full Size",Technology,Phones
295,FUR-TA-10000989,"Lesro Conference Table, Rectangular",Furniture,Tables
296,TEC-MA-10004609,"Okidata Inkjet, White",Technology,Machines
297,TEC-CO-10003448,"Canon Personal Copier, Laser",Technology,Copiers
298,TEC-CO-10003496,"Brother Wireless Fax, Digital",Technology,Copiers
299,OFF-ST-10003150,"Smead Lockers, Wire Frame",Office Supplies,Storage
300,FUR-BO-10004947,"Safco Stackable Bookrack, Pine",Furniture,Bookcases
301,FUR-CH-10004694,"Office Star Rocking Chair, Black",Furniture,Chairs
302,FUR-CH-10004669,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
303,FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases
304,OFF-KIT-10001380,"KitchenAid Microwave, Black",Office Supplies,Appliances
305,TEC-MA-10000753,"Epson Printer, Red",Technology,Machines
306,OFF-ST-10000624,"Eldon File Cart, Single Width",Office Supplies,Storage
307,TEC-PH-10002601,"Motorola Smart Phone, Cordless",Technology,Phones
308,OFF-ROG-10001735,"Rogers Lockers, Blue",Office Supplies,Storage
309,FUR-TA-10002256,"Hon Wood Table, Fully Assembled",Furniture,Tables
310,TEC-CO-10001413,"Hewlett Wireless Fax, High-Speed",Technology,Copiers
311,FUR-LES-10002026,"Lesro Conference Table, Rectangular",Furniture,Tables
312,TEC-MA-10001777,"Okidata Printer, Red",Technology,Machines
313,FUR-CH-10004462,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
314,FUR-BO-10002580,"Safco Classic Bookcase, Pine",Furniture,Bookcases
315,TEC-PH-10004618,"Motorola Signal Booster, Cordless",Technology,Phones
316,OFF-ROG-10001101,"Rogers Shelving, Wire Frame",Office Supplies,Storage
317,OFF-AP-10002252,"Cuisinart Stove, Black",Office Supplies,Appliances
318,FUR-CH-10000660,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
319,FUR-TA-10001285,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
320,OFF-ST-10003741,"Smead Lockers, Blue",Office Supplies,Storage
321,FUR-BO-10003046,"Safco Library with Doors, Mobile",Furniture,Bookcases
322,FUR-TA-10001116,"Barricks Conference Table, Fully Assembled",Furniture,Tables
323,TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones
324,FUR-CH-10002780,"Office Star Executive Leather Armchair, Black",Furniture,Chairs
325,FUR-BO-10004558,"Sauder Library with Doors, Pine",Furniture,Bookcases
326,TEC-PH-10003457,"Cisco Smart Phone, Full Size",Technology,Phones
327,TEC-MEM-10002005,"Memorex Router, Erganomic",Technology,Accessories
328,TEC-CO-10003342,"Canon Fax Machine, High-Speed",Technology,Copiers
329,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs
330,FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables
331,TEC-OKI-10001385,"Okidata Inkjet, White",Technology,Machines
332,FUR-CH-10003009,"Novimex Swivel Stool, Adjustable",Furniture,Chairs
333,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
334,OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders
335,OFF-AP-10001931,"Cuisinart Stove, Red",Office Supplies,Appliances
336,OFF-AP-10001305,"Breville Microwave, White",Office Supplies,Appliances
337,TEC-CO-10002150,"Canon Fax and Copier, Digital",Technology,Copiers
338,TEC-PH-10004823,"Nokia Smart Phone, Full Size",Technology,Phones
339,FUR-CH-10000051,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
340,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
